0	239 26 249 215 232 33 144 14 143 63 0 
1	169 95 145 243 7 113 219 94 200 167 0 
2	4 46 161 159 153 190 218 11 41 74 0 
3	201 0 91 248 159 60 76 48 123 229 0 
4	75 37 41 240 242 49 215 80 236 18 0 
5	224 226 70 25 83 65 189 18 245 179 0 
6	138 183 200 237 142 206 125 155 90 231 0 
7	155 55 33 90 113 186 117 206 87 141 0 
8	95 92 139 102 82 7 114 8 18 59 0 
9	66 217 239 241 132 182 0 124 138 60 0 
0	116 105 154 176 228 174 85 165 141 61 0 
1	187 110 196 199 165 224 192 145 207 54 0 
2	40 145 217 236 35 31 85 22 158 189 0 
3	144 80 205 83 173 72 181 185 22 24 0 
4	169 130 7 48 187 52 110 230 193 66 0 
5	212 66 92 239 113 124 141 163 213 135 0 
6	236 180 78 86 241 37 190 152 238 228 0 
7	144 188 177 52 7 38 235 102 180 65 0 
8	168 230 192 116 230 232 123 31 10 63 0 
9	63 145 34 152 195 140 125 176 197 210 0 
0	132 194 187 173 219 116 232 24 111 8 0 
1	95 144 213 87 51 220 85 52 200 175 0 
2	172 30 220 45 143 189 228 189 25 249 0 
3	117 182 119 154 61 173 184 98 235 220 0 
4	88 170 24 74 209 57 220 127 24 88 0 
5	82 201 22 102 12 131 131 215 92 70 0 
6	188 47 17 221 168 60 83 205 128 156 0 
7	60 66 148 68 78 188 171 72 163 180 0 
8	120 174 52 108 185 237 28 247 27 120 0 
9	169 75 60 228 149 86 219 13 19 62 0 
0	160 45 48 14 6 175 115 143 150 172 0 
1	191 228 196 133 7 241 181 55 198 98 0 
2	126 199 139 79 224 195 39 90 0 90 0 
3	184 87 145 139 193 111 192 169 114 82 0 
4	197 176 87 114 171 141 99 87 160 143 0 
5	187 115 104 149 135 235 148 48 151 113 0 
6	163 233 114 4 216 19 66 158 198 220 0 
7	103 105 149 152 49 210 223 148 177 142 0 
8	195 172 95 145 200 137 203 226 245 87 0 
9	102 173 218 206 37 61 102 116 55 170 0 
0	191 84 153 57 216 211 188 29 14 111 0 
1	49 85 142 78 235 191 198 168 81 81 0 
2	247 134 204 71 50 108 173 242 17 179 0 
3	163 157 28 3 188 123 135 108 97 143 0 
4	226 41 57 18 62 54 202 229 238 29 0 
5	35 57 142 167 50 79 229 206 79 30 0 
6	110 47 118 211 97 182 105 240 142 156 0 
7	227 158 166 116 207 16 196 104 24 69 0 
8	179 38 8 78 168 15 181 213 147 67 0 
9	74 246 230 232 48 161 208 66 199 70 0 
0	246 200 74 13 172 100 121 242 19 161 0 
1	115 50 25 104 87 238 131 114 52 49 0 
2	209 21 209 187 3 70 217 38 57 186 0 
3	165 34 76 162 184 85 90 77 45 121 0 
4	92 17 39 28 167 103 26 123 19 81 0 
5	65 118 87 171 67 90 219 182 75 102 0 
6	246 62 152 162 32 138 217 104 63 0 0 
7	169 80 236 66 98 188 187 70 86 186 0 
8	197 96 169 95 45 224 110 148 35 0 0 
9	121 181 113 178 131 1 1 64 76 137 0 
0	129 53 19 98 11 109 217 164 222 194 0 
1	183 186 148 97 17 73 61 130 97 93 0 
2	239 96 72 76 138 6 80 91 143 192 0 
3	91 128 135 67 148 70 12 220 154 226 0 
4	141 131 103 200 41 36 183 128 30 36 0 
5	65 89 75 91 106 22 142 109 226 246 0 
6	225 133 27 7 210 10 148 234 229 176 0 
7	16 24 39 135 27 183 95 203 200 209 0 
8	13 54 119 194 133 107 156 222 67 37 0 
9	101 158 32 203 149 109 54 29 223 157 0 
0	217 202 91 144 36 238 121 100 25 109 0 
1	156 91 61 85 32 125 51 46 24 180 0 
2	55 57 165 52 79 90 92 148 36 67 0 
3	75 40 74 23 240 237 146 6 184 117 0 
4	30 179 98 130 91 214 170 92 26 173 0 
5	54 110 97 174 235 158 144 84 60 18 0 
6	108 27 98 77 241 234 100 194 202 99 0 
7	111 104 115 11 9 95 82 163 212 193 0 
8	145 18 121 146 242 234 230 5 108 111 0 
9	71 145 29 12 142 134 110 225 106 149 0 
0	99 147 171 205 203 197 86 49 83 52 0 
1	194 122 21 84 176 123 117 73 227 9 0 
2	113 86 26 155 155 121 83 237 190 182 0 
3	67 35 94 188 95 213 79 206 89 50 0 
4	30 234 117 187 243 124 111 164 15 243 0 
5	85 138 24 82 85 105 32 58 211 123 0 
6	93 133 64 205 174 168 223 15 135 81 0 
7	0 167 123 182 107 143 143 223 182 85 0 
8	38 37 119 135 212 49 105 29 66 52 0 
9	171 101 77 70 149 117 235 2 222 94 0 
0	182 194 240 48 29 193 146 89 122 200 0 
1	244 111 56 88 101 53 144 112 144 38 0 
2	246 97 231 234 157 129 118 80 68 204 0 
3	108 97 70 68 208 61 127 155 117 170 0 
4	37 69 54 151 235 22 65 102 39 164 0 
5	26 243 175 245 100 70 20 83 90 64 0 
6	166 69 86 212 129 11 121 243 88 123 0 
7	151 102 154 61 128 137 112 180 174 61 0 
8	87 38 216 236 181 215 62 199 15 142 0 
9	149 66 88 176 200 114 163 60 179 61 0 
